created_at.x,text,Sentiment
2018-08,@AlongsideWild Sad to hear. We have six colonies along Gulf Coast in Pinellas County. Alberto devasted them but rebounded. One was decimated by a coyote. St. Pete Beach has 150 chicks. Many getting ready to fledge. Now we face an encroaching red tide.. ,0.296
2018-08,"#RedTide off #AnnaMariaIsland  green flag flying at lifeguard stands but @MoteMarineLab #BeachReport tells a different story.  #ManateeBeach dark water, INTENSE respiratory problems &amp; some dead fish. Pass-A-Grille showing water color change. Pinellas next? . https   visitbeaches org. https   twitter com IMascarenas status 1026468709093781504 photo 1",-0.8381
2018-08,"RT @IMascarenas: #RedTide off #AnnaMariaIsland  green flag flying at lifeguard stands but @MoteMarineLab #BeachReport tells a different story.  #ManateeBeach dark water, INTENSE respiratory problems &amp; some dead fish. Pass-A-Grille showing water color change. Pinellas next? . https   visitbeaches org. https   twitter com IMascarenas status 1026468709093781504 photo 1",-0.8381
2018-08,ON OUR FRONT PAGE: What's the latest on the red tide outbreak to the south? Visit St. Pete/Clearwater provides an update.. ,0.0
2018-08,"Yeah, it's Monday, but there's a lot to look forward to this week! Last week before the kiddos go back to school, so parents - enjoy! 
. https   theidentitytb com article around tampa bay red tide st pete pier",0.7846
2018-08,"This is not good news. Just found dead stinky fish on beach at the Rod and Reel Pier in the city of Anna Maria, north end of Anna Maria Island.  You can see St. Pete from here.  Red tide inches its way north. . https   twitter com SKeelerTimes status 1026557648945270784 photo 1",-0.8484
2018-08,"RT @SKeelerTimes: This is not good news. Just found dead stinky fish on beach at the Rod and Reel Pier in the city of Anna Maria, north end of Anna Maria Island.  You can see St. Pete from here.  Red tide inches its way north. . https   twitter com SKeelerTimes status 1026557648945270784 photo 1",-0.8484
2018-08,"RT @IMascarenas: #RedTide off #AnnaMariaIsland  green flag flying at lifeguard stands but @MoteMarineLab #BeachReport tells a different story.  #ManateeBeach dark water, INTENSE respiratory problems &amp; some dead fish. Pass-A-Grille showing water color change. Pinellas next? . https   visitbeaches org. https   twitter com IMascarenas status 1026468709093781504 photo 1",-0.8381
2018-08,RT @kevinwkorth: St Pete Beach - First Monday in August 2018. I will share a couple of shots from this morning. The first was taken at 6:29 AM and the second was taken at 7:04 AM on my bike ride. No Red Tide on St Pete Beach... yet! #sunrise @spann @bn9weather @VSPC . https   twitter com kevinwkorth status 1026437340573691905 photo 1,0.0
2018-08,"RT @SKeelerTimes: This is not good news. Just found dead stinky fish on beach at the Rod and Reel Pier in the city of Anna Maria, north end of Anna Maria Island.  You can see St. Pete from here.  Red tide inches its way north. . https   twitter com SKeelerTimes status 1026557648945270784 photo 1",-0.8484
2018-08,"RT @IMascarenas: #RedTide off #AnnaMariaIsland  green flag flying at lifeguard stands but @MoteMarineLab #BeachReport tells a different story.  #ManateeBeach dark water, INTENSE respiratory problems &amp; some dead fish. Pass-A-Grille showing water color change. Pinellas next? . https   visitbeaches org. https   twitter com IMascarenas status 1026468709093781504 photo 1",-0.8381
2018-08,My view today with my big boys while Baby sits in the hotel with baby girl. ❤️ thankful no red tide on st Pete beach! . https   twitter com NicoleSGrigg status 1026883897324445697 photo 1,0.4199
2018-08,"As #RedTide slowly migrates north along the Florida Suncoast, we want to share some important information with you:   has vital links and facts so you can keep you and your family safe! . http   www stpete org internal news detail_T2_R882 php. https   twitter com StPetePW status 1026933150927269888 photo 1",0.8268
2018-08,"RT @SKeelerTimes: This is not good news. Just found dead stinky fish on beach at the Rod and Reel Pier in the city of Anna Maria, north end of Anna Maria Island.  You can see St. Pete from here.  Red tide inches its way north. . https   twitter com SKeelerTimes status 1026557648945270784 photo 1",-0.8484
2018-08,No red tide on St. Pete Beach. Just my wild children. ❤️ . https   twitter com NicoleSGrigg status 1027196058106048513 video 1,-0.296
2018-08,"@WalkerForFL @FLGovScott So dishonest about Scott and red tide- per City of St Petersburg:
“Red tide is algae that occurs naturally in the Gulf...Blooms develop offshore &amp; are brought inshore by currents and winds...no direct link between nutrients related to human activity &amp; the initiation of blooms..”. ",-0.6115
2018-08,"@groovycat1111 I lived in St Pete for several years- red tide comes every year, but seems worse this year. ",-0.631
2018-08,"RT @SKeelerTimes: This is not good news. Just found dead stinky fish on beach at the Rod and Reel Pier in the city of Anna Maria, north end of Anna Maria Island.  You can see St. Pete from here.  Red tide inches its way north. . https   twitter com SKeelerTimes status 1026557648945270784 photo 1",-0.8484
2018-08,"Pass-A-Grille beach is #UpWith us today as we continue coverage on red tide. Right now, there’s no better place to be to start the day. #WTSP . https   twitter com newsphotogdeb status 1027518063007223809 photo 1",0.1779
2018-08,Pass-A-Grille beach in SW Pinellas county is as beautiful and pristine as ever this morning. But low levels of red tide have been found off it’s coast. Hopefully the problems in Sarasota and Manatee counties will not reach here. #WTSP . https   twitter com newsphotogdeb status 1027520763144941568 photo 1,-0.08
2018-08,"RT @newsphotogdeb: Pass-A-Grille beach is #UpWith us today as we continue coverage on red tide. Right now, there’s no better place to be to start the day. #WTSP . https   twitter com newsphotogdeb status 1027518063007223809 photo 1",0.1779
2018-08,RT @newsphotogdeb: Pass-A-Grille beach in SW Pinellas county is as beautiful and pristine as ever this morning. But low levels of red tide have been found off it’s coast. Hopefully the problems in Sarasota and Manatee counties will not reach here. #WTSP . https   twitter com newsphotogdeb status 1027520763144941568 photo 1,-0.08
2018-08,"@RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!. ",-0.4288
2018-08,"Red Tide Update from Visit St. Pete Clearwater Visitor's Bureau
 
Earlier this afternoon we participated in a statewide conference call with Visit Florida, the Florida Department of Health, Florida Fish and Wildlife Commission... . http   myfwc com research redtide statewide",0.0
2018-08,"RT @dereck72vapes: @RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!. ",-0.4288
2018-08,"RT @dereck72vapes: @RonDeSantisFL I know, we had the blue green algae really bad in Alligator Lake in Safety Harbor a few weeks ago. Other places much worse with red tide but last I heard it's showing up on St Pete Beach!. ",-0.4288
2018-08,"So far, so good. No sign YET of #RedTide at Fort DeSoto. . https   twitter com WFLASteveA status 1027956436381384704 photo 1",0.3803
2018-08,NO RED TIDE IN PINELLAS...YET! This is the view right now at Fort De Soto @PinellasCoNews @abcactionnews 4:30 &amp; 5:30 I’m talking to experts about the likelihood of #RedTide moving North. . https   twitter com SarahHollenbeck status 1027987288809238528 photo 1,-0.4981
2018-08,@SarahHollenbeck @PinellasCoNews @abcactionnews #ClearwaterBeach still bright and beautiful as well! . https   twitter com JasonBeisel status 1028014500870594561 video 1,0.8478
2018-08,"@Snickerdoo2 I will keep an eye on it for you.   You shouldbe fine.  

. http   www fox13news com news local news st pete clearwater beaches still free of red tide",0.6249
2018-08,#johnspass #madierabeach #redtide #greenalgae #tomorrowmorning #bethere #showyoucare #beach #sealife #lovefl #handsalongthewater #pinellas #gulfofmexico #clearwater #stpete #vspc… . https   www instagram com p BmUmNF7hzMj,0.0
2018-08,@MsSarahVandella How’s St Pete? Damn Red Tide is going to ruin all your beach time... ,-0.7579
2018-08,"@bigern245 Not sure if you know this or not but If you head north to st Pete beach area, no red tide at all.. ",-0.5075
2018-08,"NO #RedTide found off #ClearwaterBeach - We’re monitoring the red tide situation.
@MyFWC found very low traces of algae in South Pinellas County.
#Clearwater is monitoring the situation and have beach clean-up crews ready to respond if algae heads north. 
. http   www fox13news com news local news st pete clearwater beaches still free of red tide",0.1215
2018-08,So glad #StPeteBeach dodged the #redtide and it's moving even further away! . https   www mysuncoast com news first alert weather west winds to continue over the weekend article_67637396 9ce0 11e8 bd5f 173f1e939e46 html,0.6989
2018-08,"RT @SKeelerTimes: This is not good news. Just found dead stinky fish on beach at the Rod and Reel Pier in the city of Anna Maria, north end of Anna Maria Island.  You can see St. Pete from here.  Red tide inches its way north. . https   twitter com SKeelerTimes status 1026557648945270784 photo 1",-0.8484
2018-08,Once the lightning stopped flashing it was fun time in the rough surf today on #stpetebeach #Florida no sign of #RedTide @PaulFox13 . https   twitter com 9zimmy9 status 1028450624378228737 photo 1,0.0516
2018-08,"Red tide pushing more people, more business to St. Pete Beach | @WFLAGabrielle reports  . https   www wfla com 1362796234. https   twitter com WFLA status 1028586243708395520 photo 1",0.0
2018-08,"RT @WFLA: Red tide pushing more people, more business to St. Pete Beach | @WFLAGabrielle reports  . https   www wfla com 1362796234. https   twitter com WFLA status 1028586243708395520 photo 1",0.0
2018-08,RT @glitterpixie: #johnspass #madierabeach #redtide #greenalgae #tomorrowmorning #bethere #showyoucare #beach #sealife #lovefl #handsalongthewater #pinellas #gulfofmexico #clearwater #stpete #vspc… . https   www instagram com p BmUmNF7hzMj,0.0
2018-08,"Great news for next week’s Fort De Soto Triathlon presented by St Pete Bicycle, not only the red tide is 60 miles south of the race site but is also moving further south already! Nothing to worry about!  . http   www baynews9 com fl tampa news 2018 08 11 fwc says red tide moving south not north    good news for pinellas",0.4826
2018-08,"RT @WFLA: Red tide pushing more people, more business to St. Pete Beach | @WFLAGabrielle reports  . https   www wfla com 1362796234. https   twitter com WFLA status 1028586243708395520 photo 1",0.0
2018-08,"

( Sent from WFLA News ). https   www wfla com weather red tide red tide is pushing more people and more business to st pete beach 1362796234",0.0
2018-08,"St. Pete, Clearwater beaches still free of red tide . http   www fox13news com news local news st pete clearwater beaches still free of red tide",0.765
2018-08,@WFLAAmanda @WFLA Not sure what the politicians will do about this. When I lived in #StPete this had already been happening for 110 years or more as noted in this #FWC handout. . http   www floridahealth gov environmental health aquatic toxins _documents red tide rack card 2014 two up 897kb pdf,-0.2411
2018-08,"Red tide pushing more people, more business to St. Pete Beach . https   www wfla com weather red tide red tide is pushing more people and more business to st pete beach 1362796234",0.0
2018-08,"RT @DianeBonilla: Red tide pushing more people, more business to St. Pete Beach . https   www wfla com weather red tide red tide is pushing more people and more business to st pete beach 1362796234",0.0
2018-08,"Hands Along the Water . Hands Along the Water, red tide, St. Pete Beach. http   www eyeontampabay com 2018 08 hands along water html",0.0
2018-08,"We decided to explore a new beach that didn’t have red tide.
 We went north to Pass a Grille.  I’m not sure why we haven’t been there before, it was beautiful. We were minus @marissa_e_k  today who was with friends — at Pass-A-Grille Beach, Florida . https   www facebook com 650885226 posts 10161019751360227",0.7217
2018-08,@ReignOfApril St Pete’s Beach ( pass a grille) but the Gulf side  has a bag red algae issue now so water and beaches are disgusting and many are closed.. ,-0.6808
2018-08,"The Red tide is devastating our beaches. Thousands lining the Beach to bring awareness, on Madeira Beach !!! . https   www fox13news com news thousands line beaches for hands along water event",-0.7332
2018-08,"For real y'all.  Its getting bad down here and multiple animals are losing their lives because Florida has done nothing to help.  #wewantourbeachesback #fixthealgaeblooms #stpetebeach #madeirabeach #siestakey #tampabay

. https   www wfla com weather red tide hundreds to take a stand and defend gulf coast beaches amid algae crisis 1347765615",-0.9092
2018-08,"""Thousands of people are gathering along Florida beaches for the 'Hands Along the Water' event, hoping to bring more awareness to the ongoing red tide issues. Here is a view of the St. Pete Beach gathering."" . https   www facebook com SaveFloridaWatersNow posts 509480616141907",0.4215
2018-08,"Red tide pushing more people, more business to St. Pete Beach . https   www wfla com weather red tide red tide is pushing more people and more business to st pete beach 1362796234",0.0
2018-08,I just had a lady call my chickfila to ask if the red tide had hit St Pete beach because she tried to call city hall and they didn’t answer. So I gave her the run down of what it is and what it’s forecasted to do. ,0.0
2018-08,@RobertSteegLife CHICK FIL A SERVICE IS UNMATCHED 😩🙌🏼. ,-0.2577
2018-08,RT @RobertSteegLife: I just had a lady call my chickfila to ask if the red tide had hit St Pete beach because she tried to call city hall and they didn’t answer. So I gave her the run down of what it is and what it’s forecasted to do. ,0.0
2018-08,"ST PETE BEACH FL
Beach Report :
NO dead fish.
No algae odor.
No coughing.
NO RED TIDE. . https   twitter com DanaReid3333 status 1029179399424356353 photo 1",-0.9269
2018-08,Monitoring Red Tide (full story at ) #poweredbytech. http   feedproxy google com  r usfresearchnews  3 qfmC2CVPTjU,0.0
2018-08,Clearwater Beach is Red Tide free! . http   www fox13news com news local news st pete clearwater beaches still free of red tide,0.784
2018-08,@VSPC I would like to vacation in the St Pete area in November. Is the red tide a problem right now?. ,-0.0516
2018-08,"Harmful #AlgalBloom trajectory forecast by OCG @USF shows some #KBrevis, the #algae responsible for #Florida #RedTide, along #beach between #StPete &amp; #Clearwater. #WFTV . https   twitter com GWaldenWFTV status 1029401725906681856 photo 1",0.3182
2018-08,RT @Pier60ClwBeach: Clearwater Beach is Red Tide free! . http   www fox13news com news local news st pete clearwater beaches still free of red tide,0.784
2018-08,I stopped at Pass A Grille this morning on my bike ride. The water was clear and beautiful. Lots of people swimming and Florida Wildlife reports no Red Tide on Pinellas beaches.. ,0.5267
2018-08,RT @RobertSteegLife: I just had a lady call my chickfila to ask if the red tide had hit St Pete beach because she tried to call city hall and they didn’t answer. So I gave her the run down of what it is and what it’s forecasted to do. ,0.0
2018-08,RT @RobertSteegLife: I just had a lady call my chickfila to ask if the red tide had hit St Pete beach because she tried to call city hall and they didn’t answer. So I gave her the run down of what it is and what it’s forecasted to do. ,0.0
2018-08,RT @Pier60ClwBeach: Clearwater Beach is Red Tide free! . http   www fox13news com news local news st pete clearwater beaches still free of red tide,0.784
2018-08,RT @Pier60ClwBeach: Clearwater Beach is Red Tide free! . http   www fox13news com news local news st pete clearwater beaches still free of red tide,0.784
2018-08,#tuckercarlson this natural #REDTIDE  occurred in summer 1972 - south of St Pete. I was there. my brother was trying to bury the dead fish - he was 10!. ,-0.4753
2018-08,"Holy Snooks.. I would say at least 30 of them hanging out by a dock in St Pete.
As red tide creeping towards St Pete hopefully these juveniles will be okay :( . https   www facebook com greg agerskov videos 10214720268714583",0.1779
2018-08,@Brian_Metzer @MRMasferrer We were down at my parents place in Bradenton last week and all beaches from Sarasota to Anna Maria Island were hit by red tide. We were able to make due by going up 40 miles to the north at Madeira Beach in St. Pete and Clearwater Beach. Best of luck.. ,0.6369
2018-08,"OH, HERE WE GO AGAIN... THIS IS NASTY STUFF!!  (HEY, DONNIE, DO YA WANNA MEET ME AT TIERRA VERDE BEACH??)  Florida Gov. Rick Scott declares state of emergency amid red tide crisis - AOL News
. https   www aol com article news 2018 08 14 florida gov rick scott declares state of emergency amid red tide crisis 23502283",-0.9622
2018-08,RT @StPeteMadDogs: I stopped at Pass A Grille this morning on my bike ride. The water was clear and beautiful. Lots of people swimming and Florida Wildlife reports no Red Tide on Pinellas beaches.. ,0.5267
2018-08,"@gizellie I don’t think the red tide has gotten up to Treasure Island/St Pete Beach just yet. Also, I’d be more than happy to recommend eats and other things as I’m in St Pete.. ",0.8261
2018-08,"No red tide near St. Pete Beach today but we did find the redFISH! (And snook, snapper, flounder, and trout) 

Another beautiful day in Tampa Bay! The waters were beautiful and the winds… . https   www instagram com p BmgmKI0BHbR",0.9133
2018-08,"St. Pete, Clearwater beaches still free of red tide . http   www fox13news com news local news st pete clearwater beaches still free of red tide",0.765
2018-08,FRIDAY BEACH RACE. We are currently monitoring Pass-A-Grille in regards to the red tide.  We will keep you posted with announcements. #sprr #beachraceseries. ,0.0
2018-08,The latest red tide report from @MyFWC  shows respiratory irritation was felt in Pinellas and Pass-a-Grille @FOX13News #RedTide #Pinellas. ,-0.5106
2018-08,970 WFLA News: Respiratory irritation from red tide outbreak reported for several days at Pass-a-Grille in south Pinellas . https   wflanews iheart com content 2018 08 15 red tide irritation reported at pass a grille,-0.765
2018-08,RT @970wfla: 970 WFLA News: Respiratory irritation from red tide outbreak reported for several days at Pass-a-Grille in south Pinellas . https   wflanews iheart com content 2018 08 15 red tide irritation reported at pass a grille,-0.765
2018-08,RT @970wfla: 970 WFLA News: Respiratory irritation from red tide outbreak reported for several days at Pass-a-Grille in south Pinellas . https   wflanews iheart com content 2018 08 15 red tide irritation reported at pass a grille,-0.765
2018-08,RT @970wfla: 970 WFLA News: Respiratory irritation from red tide outbreak reported for several days at Pass-a-Grille in south Pinellas . https   wflanews iheart com content 2018 08 15 red tide irritation reported at pass a grille,-0.765
2018-08,RT @970wfla: 970 WFLA News: Respiratory irritation from red tide outbreak reported for several days at Pass-a-Grille in south Pinellas . https   wflanews iheart com content 2018 08 15 red tide irritation reported at pass a grille,-0.765
2018-08,RT @970wfla: 970 WFLA News: Respiratory irritation from red tide outbreak reported for several days at Pass-a-Grille in south Pinellas . https   wflanews iheart com content 2018 08 15 red tide irritation reported at pass a grille,-0.765
2018-08,RT @970wfla: 970 WFLA News: Respiratory irritation from red tide outbreak reported for several days at Pass-a-Grille in south Pinellas . https   wflanews iheart com content 2018 08 15 red tide irritation reported at pass a grille,-0.765
