word,frequency,normalized_frequency
thanks,2,3.3333333333333335
smh,1,1.6666666666666667
wastewater,2,3.3333333333333335
achoo,1,1.6666666666666667
blockchain,2,3.3333333333333335
fatima,1,1.6666666666666667
endtimes,1,1.6666666666666667
cgristian,1,1.6666666666666667
catholic,1,1.6666666666666667
3,1,1.6666666666666667
madbeach,4,6.666666666666667
lessgovt,1,1.6666666666666667
morevolunteerism,1,1.6666666666666667
unitedwestand,1,1.6666666666666667
dividedwefall,1,1.6666666666666667
greatgay5k,1,1.6666666666666667
dtsp,2,3.3333333333333335
environment,9,15.0
human,1,1.6666666666666667
involvement,1,1.6666666666666667
nature,1,1.6666666666666667
dolphins,4,6.666666666666667
boatlife,1,1.6666666666666667
fishkill,22,36.666666666666664
sucks,1,1.6666666666666667
drone,2,3.3333333333333335
dronejournalism,2,3.3333333333333335
disgusting,2,3.3333333333333335
stench,2,3.3333333333333335
yuck,4,6.666666666666667
nausea,2,3.3333333333333335
thisismychurch,1,1.6666666666666667
drumcircle,1,1.6666666666666667
hippiechurch,1,1.6666666666666667
godisnothappy,1,1.6666666666666667
darknightofthesoul,1,1.6666666666666667
stinky,6,10.0
passagrillebeach,5,8.333333333333332
nih,1,1.6666666666666667
tourism,4,6.666666666666667
smelly,2,3.3333333333333335
parents,1,1.6666666666666667
gmtb,2,3.3333333333333335
watercrisis,2,3.3333333333333335
woodyswatersports,2,3.3333333333333335
signthepetition,1,1.6666666666666667
gameover,1,1.6666666666666667
weird,1,1.6666666666666667
odd,1,1.6666666666666667
strange,1,1.6666666666666667
immigration,1,1.6666666666666667
canadian,1,1.6666666666666667
adventure,2,3.3333333333333335
wanderlust,2,3.3333333333333335
wander,2,3.3333333333333335
wandering,1,1.6666666666666667
lilmasteradventures,1,1.6666666666666667
lilmaster,1,1.6666666666666667
themaster,1,1.6666666666666667
rogerdelgado,1,1.6666666666666667
doctorwho,1,1.6666666666666667
actionfigure,1,1.6666666666666667
actionfigures,1,1.6666666666666667
toy,1,1.6666666666666667
dopal,1,1.6666666666666667
whovian,1,1.6666666666666667
adventure…,1,1.6666666666666667
selfie,1,1.6666666666666667
wanderer,1,1.6666666666666667
uicdigital,1,1.6666666666666667
notscott,2,3.3333333333333335
supremecourt,1,1.6666666666666667
lovewhereyoulive,1,1.6666666666666667
seagulls,1,1.6666666666666667
votewater,1,1.6666666666666667
slimeyscott,2,3.3333333333333335
kive,1,1.6666666666666667
dolphinsmating,1,1.6666666666666667
beachtherapy,1,1.6666666666666667
voteemout,1,1.6666666666666667
gillumforgovernor,1,1.6666666666666667
dosomething,2,3.3333333333333335
cowfish,1,1.6666666666666667
hurricanemichael,2,3.3333333333333335
mockingbirdmedia,1,1.6666666666666667
qanon,2,3.3333333333333335
maga,4,6.666666666666667
trump,3,5.0
walkaway,2,3.3333333333333335
wwg1wga,2,3.3333333333333335
freeparking,1,1.6666666666666667
