word,frequency,normalized_frequency
deadturtles,1,1.0101010101010102
maggots,1,1.0101010101010102
fortheplanet,1,1.0101010101010102
ghosttown,2,2.0202020202020203
emptybeachs,2,2.0202020202020203
emptybeaches,1,1.0101010101010102
truth,1,1.0101010101010102
entropy,1,1.0101010101010102
kerrysandersnbc,1,1.0101010101010102
varicam,1,1.0101010101010102
nbc,1,1.0101010101010102
108,1,1.0101010101010102
itsjustsobad,2,2.0202020202020203
viewerpics,2,2.0202020202020203
oceanmixing,1,1.0101010101010102
wednesdaywisdom,8,8.080808080808081
wednesdaythoughts,2,2.0202020202020203
deregulation,9,9.090909090909092
bitmoji,1,1.0101010101010102
marinescience,7,7.07070707070707
environmentalhealth,2,2.0202020202020203
fertilizerspollute,1,1.0101010101010102
pesticideskill,1,1.0101010101010102
nowordsforthis,1,1.0101010101010102
finally,1,1.0101010101010102
cantbreath,1,1.0101010101010102
morningjoe,10,10.1010101010101
thursdaythoughts,5,5.05050505050505
pleasert,1,1.0101010101010102
pleasehelp,1,1.0101010101010102
fixit,2,2.0202020202020203
moteaquarium,2,2.0202020202020203
environmental,2,2.0202020202020203
publichealth,2,2.0202020202020203
fbr,4,4.040404040404041
nowhiring,1,1.0101010101010102
automotive,1,1.0101010101010102
paint,1,1.0101010101010102
autobody,1,1.0101010101010102
job,1,1.0101010101010102
tbt,2,2.0202020202020203
rosetattoo,1,1.0101010101010102
skulltattoo,1,1.0101010101010102
vote4water,1,1.0101010101010102
fff,2,2.0202020202020203
coastalyomper,4,4.040404040404041
igtv,1,1.0101010101010102
patience,1,1.0101010101010102
westcoast,2,2.0202020202020203
positive,1,1.0101010101010102
vibes,1,1.0101010101010102
empower,1,1.0101010101010102
whatis,1,1.0101010101010102
sunshine,1,1.0101010101010102
nofilter,2,2.0202020202020203
instagood,1,1.0101010101010102
reporterlife,1,1.0101010101010102
bacteria,2,2.0202020202020203
harmfulalgaebloom,4,4.040404040404041
fixthis,1,1.0101010101010102
…,1,1.0101010101010102
noswim,3,3.0303030303030303
therecantbethatmanymorefishlefttokill,2,2.0202020202020203
freezetodeath,1,1.0101010101010102
burntodeath,1,1.0101010101010102
manasotabeach,3,3.0303030303030303
deadsea,2,2.0202020202020203
hatw,2,2.0202020202020203
familytime,1,1.0101010101010102
fullmoon,1,1.0101010101010102
pause,1,1.0101010101010102
freshstart,2,2.0202020202020203
indivisible,2,2.0202020202020203
smallbusiness,1,1.0101010101010102
reviews,1,1.0101010101010102
phenomenon,6,6.0606060606060606
algalbloom,4,4.040404040404041
farminwater,1,1.0101010101010102
nodeadfish,1,1.0101010101010102
supportlocal,1,1.0101010101010102
supporlocalbusiness,1,1.0101010101010102
deregulstion,1,1.0101010101010102
saturdaymorning,2,2.0202020202020203
saturdaymotivation,1,1.0101010101010102
toxicturmoil,4,4.040404040404041
voteblue4bluewater,7,7.07070707070707
iputpeopletogether,1,1.0101010101010102
lightning,1,1.0101010101010102
beachwedding,1,1.0101010101010102
raindelay,1,1.0101010101010102
algal,2,2.0202020202020203
wahhhhh,1,1.0101010101010102
draining,1,1.0101010101010102
life,2,2.0202020202020203
savetheworld,1,1.0101010101010102
stateofemergency,1,1.0101010101010102
fmb,3,3.0303030303030303
cleanmetoo,1,1.0101010101010102
waterislife,14,14.14141414141414
gillumforgovernor,13,13.131313131313133
nutrientpollution,1,1.0101010101010102
bigsugarcartel,1,1.0101010101010102
mondaymotivation,5,5.05050505050505
supertuesday,1,1.0101010101010102
rickscottisacrook,1,1.0101010101010102
dosomethingscott,1,1.0101010101010102
fuckyourickscott,2,2.0202020202020203
watercrisis,27,27.27272727272727
underwater,1,1.0101010101010102
eatplaylovelocal,1,1.0101010101010102
my941,1,1.0101010101010102
941area,1,1.0101010101010102
corruption,16,16.161616161616163
hempoil,2,2.0202020202020203
cbdhemp,2,2.0202020202020203
hempheals…,2,2.0202020202020203
sailing,3,3.0303030303030303
yachting,3,3.0303030303030303
marine,4,4.040404040404041
twitter,3,3.0303030303030303
okechobee,1,1.0101010101010102
shark,6,6.0606060606060606
usedtobeparadise,16,16.161616161616163
futuretrends,1,1.0101010101010102
september,1,1.0101010101010102
weather,1,1.0101010101010102
storms,1,1.0101010101010102
currentloop,1,1.0101010101010102
sharks,5,5.05050505050505
msm,1,1.0101010101010102
algeabloom,3,3.0303030303030303
canada,2,2.0202020202020203
algebloom,1,1.0101010101010102
desantos,3,3.0303030303030303
killing,2,2.0202020202020203
waterqualitycrisis,4,4.040404040404041
votethemallout,2,2.0202020202020203
midterms,1,1.0101010101010102
congress,1,1.0101010101010102
cfw,1,1.0101010101010102
crusadersforwildlife,1,1.0101010101010102
wildlifematters,1,1.0101010101010102
nonprofit,2,2.0202020202020203
environmentaldegradation,1,1.0101010101010102
believescience,1,1.0101010101010102
napes,2,2.0202020202020203
toxicalgea,21,21.21212121212121
waterquality,13,13.131313131313133
harmfulalgalblooms,2,2.0202020202020203
nspgmedia,1,1.0101010101010102
canon,1,1.0101010101010102
naturalplaces,1,1.0101010101010102
beachlife🌴,1,1.0101010101010102
skyline…,1,1.0101010101010102
seistakey,3,3.0303030303030303
devastation,2,2.0202020202020203
documenatary,1,1.0101010101010102
hollyelmore,13,13.131313131313133
gotv,1,1.0101010101010102
laborday,3,3.0303030303030303
labordayweekend,3,3.0303030303030303
govenor,1,1.0101010101010102
nov,1,1.0101010101010102
senator,1,1.0101010101010102
boatdock,1,1.0101010101010102
culture,3,3.0303030303030303
explainers,2,2.0202020202020203
topics,2,2.0202020202020203
politics,3,3.0303030303030303
interest,2,2.0202020202020203
public,4,4.040404040404041
affairs,2,2.0202020202020203
science,10,10.1010101010101
business,3,3.0303030303030303
health,11,11.11111111111111
tech,2,2.0202020202020203
article,2,2.0202020202020203
sports,2,2.0202020202020203
policy,2,2.0202020202020203
vanwezelfridayfest,1,1.0101010101010102
fridayfest2018,1,1.0101010101010102
fertilizer,9,9.090909090909092
ecosystem,4,4.040404040404041
waters,3,3.0303030303030303
phosphate,5,5.05050505050505
mining,1,1.0101010101010102
preyhierarchy,1,1.0101010101010102
smells,1,1.0101010101010102
eliminateodor,2,2.0202020202020203
naturaldiffusers,2,2.0202020202020203
longboat…,1,1.0101010101010102
uniquescents,1,1.0101010101010102
handmade,1,1.0101010101010102
beachbums,3,3.0303030303030303
