word,frequency,normalized_frequency
fluorothink,3,0.44576523031203563
charlotte,2,0.2971768202080238
flwater,4,0.5943536404160475
toxicgulfofmexico,2,0.2971768202080238
eth,1,0.1485884101040119
votebluefl,2,0.2971768202080238
floridablockchainsummit,2,0.2971768202080238
uc,1,0.1485884101040119
uconline,1,0.1485884101040119
missiontampabay2021,2,0.2971768202080238
wflanow,2,0.2971768202080238
indianrocksbeach,1,0.1485884101040119
jacks,2,0.2971768202080238
dead,9,1.337295690936107
floridabeachers,2,0.2971768202080238
champabay,2,0.2971768202080238
nikkiforgovfl,1,0.1485884101040119
flipfloridablue,1,0.1485884101040119
billionaires,1,0.1485884101040119
demcastfl,12,1.7830609212481425
floridacovidcation,1,0.1485884101040119
world,2,0.2971768202080238
us,3,0.44576523031203563
stpetersburgfl,2,0.2971768202080238
savingtampastpete,2,0.2971768202080238
apollobeach,1,0.1485884101040119
flórida,1,0.1485884101040119
alga,1,0.1485884101040119
mor,1,0.1485884101040119
bay,4,0.5943536404160475
protectthebay,1,0.1485884101040119
fishbirdsturtlesmanateesdolphins,2,0.2971768202080238
tampabay…600,2,0.2971768202080238
protectingfltogether,8,1.188707280832095
state,1,0.1485884101040119
stepetefl,1,0.1485884101040119
savetampa,1,0.1485884101040119
floridalife🌴,1,0.1485884101040119
fldoh,1,0.1485884101040119
dontfaucimyflorida,2,0.2971768202080238
floridastrong,1,0.1485884101040119
not,1,0.1485884101040119
phosphogypsum,1,0.1485884101040119
floridians,2,0.2971768202080238
for,1,0.1485884101040119
stopreleasinglakeo,1,0.1485884101040119
floridacleanwater,1,0.1485884101040119
fluhruhdud,2,0.2971768202080238
mytreasureisland,1,0.1485884101040119
tampastpetersburg,2,0.2971768202080238
stoparrestingdoctors,1,0.1485884101040119
townhall,1,0.1485884101040119
demandcleanwaterfl,1,0.1485884101040119
tampabayfl,6,0.8915304606240713
bluedot,1,0.1485884101040119
dontgotoflorida,2,0.2971768202080238
fox4now,1,0.1485884101040119
sad,2,0.2971768202080238
desantiskillsflorida,1,0.1485884101040119
floridaisahotmess,2,0.2971768202080238
floridaman,1,0.1485884101040119
floridafood,1,0.1485884101040119
tampabay’s,1,0.1485884101040119
floridadeservesbetter,2,0.2971768202080238
floridavacation,2,0.2971768202080238
sarasotacounty,2,0.2971768202080238
