word,frequency,normalized_frequency
sarasota,1021,100.0
florida,612,59.94123408423114
manatee,142,13.907933398628794
siestakey,141,13.809990205680705
manasotakey,12,1.1753183153770812
nationalwalkoutday,2,0.1958863858961802
flapol,19,1.860920666013712
,10,0.9794319294809012
venicefl,6,0.5876591576885406
lidokey,14,1.3712047012732616
lakewoodranch,4,0.3917727717923604
bradenton,37,3.623898139079334
northport,6,0.5876591576885406
siesta,21,2.056807051909892
gulfofmexico,34,3.330068560235064
swfl,198,19.39275220372184
sarasot,1,0.0979431929480901
manasota,8,0.7835455435847208
venice,66,6.464250734573946
nokomis,13,1.2732615083251715
lido,23,2.2526934378060726
fl,24,2.3506366307541624
swflbeaches,2,0.1958863858961802
manatees,19,1.860920666013712
beach,66,6.464250734573946
summer,7,0.6856023506366308
annamariaisland,19,1.860920666013712
flwx,70,6.8560235063663075
longboatkey,43,4.211557296767874
charlotte,17,1.665034280117532
englewood,59,5.778648383937316
bocagrande,11,1.0773751224289911
beaches,40,3.9177277179236047
dead,1,0.0979431929480901
fish,32,3.1341821743388834
lake,1,0.0979431929480901
okeechobee,22,2.1547502448579823
lakeokeechobee,31,3.0362389813907935
gasparilla,2,0.1958863858961802
venicebeach,13,1.2732615083251715
floridasun,1,0.0979431929480901
sugar,1,0.0979431929480901
pollutionalert,1,0.0979431929480901
lovefl,64,6.268364348677767
charlottecounty,3,0.2938295788442703
leecounty,2,0.1958863858961802
epa,4,0.3917727717923604
sarasotapost,4,0.3917727717923604
englewoodbeach,1,0.0979431929480901
englewoodfl,4,0.3917727717923604
sarasotacounty,26,2.546523016650343
portcharlotte,7,0.6856023506366308
fortmyers,26,2.546523016650343
naples,31,3.0362389813907935
marcoisland,8,0.7835455435847208
restoretheflow,1,0.0979431929480901
visitflorida,62,6.072477962781587
realpureflorida,1,0.0979431929480901
crescentbeach,1,0.0979431929480901
capecoral,20,1.9588638589618024
lemonbay,5,0.4897159647404506
donpedroisland,1,0.0979431929480901
flagovshame,1,0.0979431929480901
sad,6,0.5876591576885406
sarasotabay,55,5.386875612144956
floridas,18,1.762977473065622
trumptampa,1,0.0979431929480901
captiva,14,1.3712047012732616
fla,5,0.4897159647404506
everglades,6,0.5876591576885406
sea,5,0.4897159647404506
tampabay,114,11.165523996082271
flwatercrisis,5,0.4897159647404506
flsen,22,2.1547502448579823
fortmyersbeach,5,0.4897159647404506
stoptheflow,1,0.0979431929480901
lakeo,9,0.881488736532811
fldisaster,1,0.0979431929480901
puntagorda,4,0.3917727717923604
siestakeybeach,23,2.2526934378060726
southernflorida,1,0.0979431929480901
rivers,4,0.3917727717923604
sup,5,0.4897159647404506
mysarasota,3,0.2938295788442703
caloosahatchee,1,0.0979431929480901
annamaria,1,0.0979431929480901
loverskey,2,0.1958863858961802
donpedro,1,0.0979431929480901
stpete,16,1.5670910871694417
clearwater,18,1.762977473065622
fox35,10,0.9794319294809012
nokomisfl,1,0.0979431929480901
noworneverglades,2,0.1958863858961802
ocr,1,0.0979431929480901
venicenorthjetty,2,0.1958863858961802
bradentonbeach,4,0.3917727717923604
sk,2,0.1958863858961802
gulfcoast,49,4.799216454456415
gulfcoastbeaches,4,0.3917727717923604
flsd28,2,0.1958863858961802
flhd78,2,0.1958863858961802
flhd80,2,0.1958863858961802
flhasaproblem,2,0.1958863858961802
trout,3,0.2938295788442703
fllife,2,0.1958863858961802
